backbone,epoch,train_loss,train_acc,val_acc,val_f1,val_auc,fold
convnext_tiny,6,0.1263,92.46,97.93,0.9797,,3
convnext_tiny,7,0.1163,93.04,98.09,0.9813,,3
convnext_tiny,8,0.1136,92.98,98.21,0.9825,,3
convnext_tiny,9,0.1112,93.09,98.09,0.9814,,3
convnext_tiny,10,0.1056,93.6,98.29,0.9833,,3
convnext_tiny,11,0.1018,94.01,98.49,0.9852,,3
convnext_tiny,12,0.0924,94.69,98.33,0.9836,,3
convnext_tiny,13,0.0877,95.14,98.33,0.9836,,3
convnext_tiny,14,0.0881,95.21,98.33,0.9835,,3
convnext_tiny,15,0.0887,95.0,98.61,0.9864,,3
convnext_tiny,16,0.0864,95.04,98.77,0.9879,,3
convnext_tiny,17,0.0839,95.54,98.77,0.988,,3
convnext_tiny,18,0.0815,95.7,98.93,0.9895,,3
convnext_tiny,19,0.0781,96.09,98.77,0.9879,,3
convnext_tiny,20,0.0801,95.86,98.77,0.9878,,3
convnext_tiny,21,0.0787,95.75,98.93,0.9894,,3
convnext_tiny,22,0.0743,96.24,98.93,0.9894,,3
convnext_tiny,23,0.0761,96.42,98.81,0.9883,,3
convnext_tiny,24,0.0725,96.43,98.73,0.9875,,3
convnext_tiny,25,0.0701,96.67,98.81,0.9883,,3
convnext_tiny,1,0.2456,82.91,92.22,0.9198,,4
convnext_tiny,2,0.1649,89.51,95.71,0.956,,4
convnext_tiny,3,0.1456,90.97,96.79,0.9675,,4
swin_tiny_patch4_window7_224,1,0.219,84.83,93.21,0.9308,0.9909,0
swin_tiny_patch4_window7_224,2,0.1561,90.28,96.54,0.9651,0.9954,0
swin_tiny_patch4_window7_224,3,0.1328,92.27,96.71,0.9668,0.9961,0
swin_tiny_patch4_window7_224,4,0.1291,92.21,97.35,0.9734,0.9969,0
swin_tiny_patch4_window7_224,5,0.1217,92.62,97.83,0.9782,0.9974,0
swin_tiny_patch4_window7_224,6,0.1132,93.38,98.19,0.982,0.9975,0
swin_tiny_patch4_window7_224,7,0.1095,93.46,98.39,0.984,0.9978,0
swin_tiny_patch4_window7_224,8,0.1054,93.8,98.23,0.9824,0.9977,0
swin_tiny_patch4_window7_224,9,0.0944,94.37,98.39,0.984,0.9977,0
swin_tiny_patch4_window7_224,10,0.0991,94.45,98.35,0.9835,0.998,0
swin_tiny_patch4_window7_224,11,0.0924,94.76,98.63,0.9864,0.9978,0
swin_tiny_patch4_window7_224,12,0.091,94.95,98.75,0.9876,0.9981,0
swin_tiny_patch4_window7_224,13,0.0875,94.91,98.55,0.9856,0.9978,0
swin_tiny_patch4_window7_224,14,0.0858,95.57,98.75,0.9876,0.998,0
swin_tiny_patch4_window7_224,15,0.0801,95.28,98.75,0.9876,0.9981,0
swin_tiny_patch4_window7_224,16,0.0852,95.76,98.92,0.9892,0.9982,0
swin_tiny_patch4_window7_224,17,0.0777,95.8,98.71,0.9872,0.9982,0
swin_tiny_patch4_window7_224,18,0.0777,96.06,98.67,0.9866,0.9981,0
swin_tiny_patch4_window7_224,19,0.0745,96.08,98.79,0.9879,0.998,0
swin_tiny_patch4_window7_224,20,0.0739,96.41,98.67,0.9867,0.9984,0
swin_tiny_patch4_window7_224,21,0.0703,96.43,98.63,0.9864,0.9981,0
swin_tiny_patch4_window7_224,22,0.0731,96.41,98.67,0.9868,0.9981,0
swin_tiny_patch4_window7_224,23,0.0683,96.84,98.79,0.988,0.998,0
swin_tiny_patch4_window7_224,1,0.214,85.27,90.42,0.9067,0.9915,1
swin_tiny_patch4_window7_224,2,0.1589,89.91,96.37,0.963,0.9962,1
swin_tiny_patch4_window7_224,3,0.137,91.51,96.87,0.9681,0.9973,1
swin_tiny_patch4_window7_224,4,0.1247,92.64,97.53,0.9744,0.9974,1
swin_tiny_patch4_window7_224,5,0.1191,92.92,98.22,0.9818,0.9981,1
swin_tiny_patch4_window7_224,6,0.1145,93.46,98.46,0.9842,0.998,1
swin_tiny_patch4_window7_224,7,0.1092,93.63,98.46,0.9842,0.9983,1
swin_tiny_patch4_window7_224,8,0.0993,94.31,98.46,0.9842,0.9987,1
swin_tiny_patch4_window7_224,9,0.1011,93.99,98.34,0.983,0.9988,1
swin_tiny_patch4_window7_224,10,0.0951,94.71,98.8,0.9878,0.9987,1
swin_tiny_patch4_window7_224,11,0.0979,94.57,98.76,0.9874,0.9987,1
swin_tiny_patch4_window7_224,12,0.0914,94.95,98.88,0.9885,0.9989,1
swin_tiny_patch4_window7_224,13,0.0831,95.54,98.84,0.9882,0.9989,1
swin_tiny_patch4_window7_224,14,0.0793,95.99,98.92,0.989,0.9989,1
