path,class,method,iou_fixed_top20pct,iou_adaptive_otsu,pointing_game_hit,border_bias_fraction,predicted_correctly
cashew_leaf_dataset_raw/leaf_miner/leaf-miner842__jpg.rf.caa43f5e7a9ff468bcb0c2dcc3bfce6f.jpg,leaf_miner,eigencam,0.2539334793865764,0.23694965632546908,1,0.1393614113330841,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1363__jpg.rf.50f0efb20604aed7ad71e0d4281c0480.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.5733359456062317,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1363__jpg.rf.50f0efb20604aed7ad71e0d4281c0480.jpg,leaf_miner,scorecam,0.31988041853512705,0.16545538889747952,0,0.4515039920806885,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1363__jpg.rf.50f0efb20604aed7ad71e0d4281c0480.jpg,leaf_miner,eigencam,0.31988041853512705,0.36258895289732296,0,0.40159809589385986,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.jpg,leaf_miner,gradcam++,0.019216433363704134,0.026775786149535203,0,0.31158605217933655,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.jpg,leaf_miner,scorecam,0.0,0.0,0,0.38407382369041443,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner828__jpg.rf.16665c98939b60ac02f4f5b83deb96d6.jpg,leaf_miner,eigencam,0.22620827105132038,0.25385819727130393,1,0.042425286024808884,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.25690916180610657,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.jpg,leaf_miner,scorecam,0.007047635221193852,0.012750757002271006,0,0.40319550037384033,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner219__jpg.rf.51a0784b432aec6b45ca72c110ea7fa8.jpg,leaf_miner,eigencam,0.1646862417755082,0.16602278355621594,1,0.1198778823018074,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner181__jpg.rf.09cbad2df8cf1c08bc0de46ccfe8f1f1.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.398374080657959,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner181__jpg.rf.09cbad2df8cf1c08bc0de46ccfe8f1f1.jpg,leaf_miner,scorecam,0.0,0.0,0,0.5324233174324036,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner181__jpg.rf.09cbad2df8cf1c08bc0de46ccfe8f1f1.jpg,leaf_miner,eigencam,0.3772043439274684,0.3340388007054674,0,0.008551466278731823,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.jpg,leaf_miner,gradcam++,0.0002839698991906858,0.0,0,0.8308505415916443,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.jpg,leaf_miner,scorecam,0.07762906309751434,0.055246292744538524,1,0.31807708740234375,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner229__jpg.rf.d7fb17285c1330c2d4ca1046a8e0dffe.jpg,leaf_miner,eigencam,0.0,0.0004364652137224663,0,0.42008617520332336,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.6611513495445251,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.jpg,leaf_miner,scorecam,0.0,0.0,0,0.3778831958770752,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner638__jpg.rf.fd6940140c3cfbae2c82c52350c49c61.jpg,leaf_miner,eigencam,0.0,0.0,0,0.4067777693271637,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.jpg,leaf_miner,gradcam++,0.00968812209688122,0.012596899224806201,0,0.4198172986507416,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.jpg,leaf_miner,scorecam,0.08747855917667238,0.08605906637027627,0,0.3344782292842865,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner463__jpg.rf.eac40fd29e1344db35f3213b897375fd.jpg,leaf_miner,eigencam,0.40278417995759197,0.34493238109709773,1,0.11159763485193253,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.5952925086021423,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.jpg,leaf_miner,scorecam,0.07420081044574516,0.09104893760215364,0,0.2508775293827057,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner204__jpg.rf.0c0c01b48f9b9369a35fde6d3025a79b.jpg,leaf_miner,eigencam,0.1887394120577977,0.20616087950364645,1,0.13971565663814545,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.7718152403831482,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.jpg,leaf_miner,scorecam,0.3407537590314392,0.16565846663978134,1,0.3201473653316498,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner49__jpg.rf.03eafcc54d11d05e871da3c11e5bfec7.jpg,leaf_miner,eigencam,0.3675928692361319,0.40928555330178046,1,0.028883645310997963,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.jpg,leaf_miner,gradcam++,0.11798469387755102,0.0,0,0.8910484910011292,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.jpg,leaf_miner,scorecam,0.0,0.0008670269645385971,0,0.4752223789691925,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner374__jpg.rf.13ad837695e123a1fa51f8c0c5506599.jpg,leaf_miner,eigencam,0.0,0.0,0,0.42271631956100464,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner456__jpg.rf.e44e6f6db9af9909287ab8890cfb50b3.jpg,leaf_miner,gradcam++,0.0,0.0,0,0.665653645992279,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner456__jpg.rf.e44e6f6db9af9909287ab8890cfb50b3.jpg,leaf_miner,scorecam,0.0,0.011617324267894427,0,0.48959651589393616,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner456__jpg.rf.e44e6f6db9af9909287ab8890cfb50b3.jpg,leaf_miner,eigencam,0.3051087984862819,0.3192488262910798,1,0.04964352026581764,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1309__jpg.rf.e7629b3bc2dd60ffba90cea54c9bc62c.jpg,leaf_miner,gradcam++,0.0528938137755102,0.0,0,,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1309__jpg.rf.e7629b3bc2dd60ffba90cea54c9bc62c.jpg,leaf_miner,scorecam,0.0,0.0,0,0.5100906491279602,True
cashew_leaf_dataset_raw/leaf_miner/leaf-miner1309__jpg.rf.e7629b3bc2dd60ffba90cea54c9bc62c.jpg,leaf_miner,eigencam,0.25710607111023076,0.2527195027195027,1,0.14893600344657898,True
